Tecrübe,Askerlik-Durumu,Departman,pozisyon,sehir,firma,metin,b_sayisi,g_sayisi,sure
En az 5 yıl tecrübeli adaylar,"Muaf, Yapıldı",Planlama,Planlama Sorumlusu,Ankara,Firma Bilgisi Gizli,"GENEL NİTELİKLER VE İŞ TANIMI


Firmamız, Türkiye Cumhuriyeti Savunma ve Havacılık Sanayi’nin ihtiyaç
duyduğu elektrik, elektronik ve elektromekanik ihtiyaçlarını karşılamak için
2015 yılında kurulmuştur. Firmamızın kurumsal yapısına ve 150’yi aşkın
çalışanına, çalışmalarında destek verecek aşağıda verilen niteliklere sahip
takım arkadaşı arıyoruz.
 ? Üniversite mezunu (tercihen Endüstri, Elektrik-Elektronik veya Makina
Mühendisi), 
? Savunma sanayi sektöründe, üretim, kontrol, stok yönetimi, kalite,
organizasyon ve planlama süreçlerinde tecrübe sahibi,
? MS Office uygulamalarına hakim olmak,
? MS SQL hakkında bilgi sahibi olmak,
? ERP/MRP programlarını etkin kullanabilen (tercihen caniasERP kullanmış
olmak),
? İleri seviyede (okuma, yazma, konuşma) İngilizce bilen,
? Problem çözme yeteneği gelişmiş, analiz, takip ve raporlama yönü
kuvvetli olmak,
? İletişim becerileri kuvvetli, takım çalışmasına yatkın,
? Ankara ili sınırları içerisinde ikamet eden veya edebilecek,
? Erkek adaylar için askerlik görevini tamamlamış olması tercih sebebidir.
İŞ TANIMI
? Savunma Sanayinde üretim-planlama alanında en az 5 yıl tecrübeye
sahip olmak,
? Müşteri isterlerine uygun olarak, ön görülen süre ve maliyetlerde teslimat
hedeflerini karşılayacak şekilde üretim, personel ve malzeme ihtiyaç
planlamasını yapmak.
? İlgili bölümlere iş emirlerinin açılması ve takibi,
? Üretim alanlarında ve ekipmanlarda detaylı kısa ve uzun dönemli kapasite
ihtiyaç planlaması faaliyetlerini gerçekleştirmek.
? Oluşabilecek sapmalar için gerekli önlemlerin alınmasını sağlamak,
? Güvenlik stoku, yeniden sipariş verme seviyelerinin istatistiksel olarak
değerlendirilerek güncel tutulması,
? Üretim performansını takip etmek, planlanan ve gerçekleşen değerleri
incelemek ve raporlarını oluşturmak, 
? Üretim, satınalma, kalite, depo, mühendislik ve satış birimleri arasındaki
koordinasyonu sağlamak,
? Yalın üretim ve süreç iyileştirme faaliyetlerine katkı ve katılım sağlamak.",200-300,1771,7
En az 3 yıl tecrübeli adaylar,"Yapıldı, Tecilli",Dijital Pazarlama,Dijital Pazarlama Uzmanı,İstanbul(Avr.)(Beylikdüzü),CRM MEDYA REKLAM VE BİLİŞİM TEK. SAN. TİC. LTD. ŞTİ.,"GENEL NİTELİKLER VE İŞ TANIMI
Google Türkiye performans değerlendirmesinde Türkiye'deki bütün rakiplerini geride bırakarak birincilik ödülü alan firmamızın İstanbul/ Beykildüzü ofisinde görevlendirilmek üzere, Dijital Pazarlama Uzmanı arıyoruz.
Dijital Pazarlama alanında en az 3 yıl tecrübeli,
Lisans mezunu,
Çok iyi derecede İngilizce bilen,
Dijital kampanyaları oluştururken stratejik olarak düşünebilen, çözüm üretebilen
Dataları yorumlayabilen ve datalara göre strateji oluşturabilen
Dijital pazarlamada  performans odaklı –özellikle e-ticaret/form odaklı-  büyük hesaplar yönetmiş,
Dijital pazarlama bütçesini yönetecek, optimize edecek, harcamalar sonucu elde edilen ciro, müşteri vb. dataları günlük/haftalık olarak takip edebilecek, raporlayabilecek,
Adwords, GDN, Youtube, SoMe reklamları, Programatik, Remarketing vb kullanımlarda deneyimli,
 SEO / SEM, remarketing, sosyal medya, display ve mobil pazarlama stratejilerini oluşturulması sürecinde aktif rol alabilecek.
Araştırmayı seven, dijital trendleri yakından takip eden,
Sunum hazırlama becerisi yüksek
İletişim becerisi yüksek,  proaktif, iş biriminin ihtiyaçlarını anlayabilen, uyumlu çalışabilen
 İŞ TANIMI:
Ajansın bünyesinde yer alan markaların performans odaklı kampanya stratejilerini oluşturmak, kampanyaları yayına almak, takibini gerçekleştirmek ve  optimize etmek,
Form, satış sayısı,  gelir  vb. KPI’lara  ulaşılması için gerekli çalışmaları yapmak, performans göstergelerini düzenli olarak takip ederek,  periyodik olarak raporlamak,
Sektör istatistiklerini takip ve analiz ederek sonucunda çıkarımlar oluşturmak,
  ",50-100,767,20
En az 3 yıl tecrübeli adaylar,Yapıldı,Kalite,Çevre Mühendisi,Bilecik(Osmaneli),TAYRAŞ İNŞAAT TAAHHÜT SANAYİ VE TİCARET ANONİM ŞİRKETİ,"GENEL NİTELİKLER VE İŞ TANIMI
GENEL NİTELİKLER
Bilecik/Osmaneli’de kurulmakta olan Baz Yağ Rafinerimiz için Çevre Mühendisi arayışımız bulunmaktadır.
Üniversitelerin Çevre Mühendisliği bölümünden mezun ve çevre görevlisi belgesi bulunan,
C sınıfı İSG sertifikası bulunan, 
Çevre, İş Sağlığı ve Güvenliği mevzuat ve yönetmeliklerine hâkim, 
Çevre izin / lisans alınması süreçlerinde deneyimi bulunan,
BEKRA ile ilgili çalışmalarda bulunmuş,
ISO 14001 Çevre Yönetim Sistemi ve ISO 45001 İş Sağlığı ve Güvenliği Yönetim Sistemi hakkında bilgi sahibi olan,
Petrol ve Gaz sektöründe Çevre, İş Sağlığı ve Güvenliği yönetimi ve uygulamaları kapsamında tesis, inşaat ve saha denetlemede en az 2 yıl deneyimi bulunan,
Kaza araştırma, iş izinleri ,çevre ve İSG konularında eğitim verme tecrübesine sahip, 
Takım çalışmasına yatkın, iletişim becerileri güçlü, planlama ve raporlama becerileri gelişmiş,
MS Office programlarını etkin düzeyde kullanabilen, 
 Erkek adaylar için askerlik görevini tamamlamış, 
Bilecik / Osmaneli’nde ikamet edecek,
İyi düzeyde İngilizce bilen 
Yüksek sorumluluk bilincinde, 
Sonuç ve çözüm odaklı 
B sınıfı ehliyeti olan,
İŞ TANIMI
İş Sağlığı ve Güvenliği ile Çevre konularında yasal yükümlülüklerin takip, plan, prosedür ve talimatların hazırlanması ve süreçlerin iyileştirilmesi ve gerekli danışmanlık hizmetlerinin verilmesi,
Çalışanlara, ilgili mevzuata uygun olarak verilecek çevre / iş sağlığı ve güvenliği eğitimlerinin planlaması ve eğitimlerin verilmesi, 
Haftalık ve aylık saha aktivite, ihtiyaç ve uygulama analiz raporlarının hazırlanması, 
Saha denetim ve risk analiz planlarının hazırlanması, gerekli istatistiklerin tutulması,
Resmi yazışmaların ve konu ile ilgili her türlü izin ve sertifikalandırma işlerinin takibi,
Yangınla mücadele planlarının hazırlanması ve gerekli ekipmanların seçimi / montajı işleri ilgili koordinasyon sağlanması,
Alınacak tedbirlerin planlanması ve uygulamanın takibinin yapılması, 
Sahada denetimlerde bulunup yönetime raporlanması",100-200,2078,27
En az 2 yıl tecrübeli adaylar,"Muaf, Yapıldı",Kalite,Kalite Yönetim Sorumlusu,"İstanbul(Avr.), Manisa, İstanbul(Asya)",VEPA A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
1. GÖREV TANIMI : Firmadaki Kalite Yönetim Sisteminin ISO-9001:2008 standardına
uygun olarak hazırlanması, uygulatılması düzenli olarak denetlenmesi, düzeltici faaliyetlerin
gerçekleştirilmesi ve Kalite Yönetim Sistemindeki gelişmelerin uygulanmasından sorumludur.
Analiz sertifikalarının hazırlanması ve takibinden sorumludur.
2. GÖREV, YETKİ VE SORUMLULUKLARI:
* Firmamız tarafından yürütülen Kalite Yönetim sistemini kurma
çalışmalarını yürütmek ve koordine etmek. Müşteri memnuniyetini temel alan kaliteli hizmetin verilmesi
için gerekli şartları sağlamaktır.
* Kalite Yönetim temsilcisi atanma tarihinden itibaren Kalite Yönetim Sistemi kurma
çalışmalarına başlar.
* Kalite Yönetim sistemi için gerekli proseslerin oluşturulmasını, uygulanmasını ve
sürekliliğini sağlamak.
* Firmada müşteri şartlarının bilincinde olunmasının yaygınlaştırılmasını sağlamak.
* Firmada kalite yönetim sistemi mantığını benimsemek, sağlamak, yürütmek ve
devamlılığını sağlamak için gerekli prosedürleri hazırlamak.
* ISO 9001:2015 Kalite belgesi alma çalışmalarını kordine etmek firmamız adına kalite ile ilgili
görevleri yürütmek, proseslerin oluşturulmasını, uygulanmasını ve sürekliliğinin
sağlanmasını koordine etmek.
* Periyodik olarak yapılan toplantılarla, yönetimi çalışmalar hakkında bilgilendirmek.
* Kalite yönetim sistemi ile ilgili doküman prosedür ve talimatların sürekli kullanılır halde
olmasını temin etmek.
* Dokümanların güncelliğini ve kontrolünün devamlılığını sağlamak.
* Kalite Yönetim sistemi ile ilgili konularda yönetim ve ilgili kişilerle görüş alışverişinde
bulunmak.
* Kalite Yönetim Sistem çalışmaları ile ilgili eğitim faaliyetlerini koordine etmek.
* Kalite Yönetim Sistemi ile ilgili konularda dış kuruluşlarla irtibatta bulunmak.
* Kalite Yönetim sisteminin performansı ve iyileştirilmesi için ve gözden geçirme
toplantılarında esas alınması amacıyla üst yönetime Yönetim Temsilcisi Raporunu her 6 ayda bir
sunmak.
* Kalite Yönetim Sisteminin gidişatı hakkında istatistiksel analizler yaptırmak ve konu ile ilgili
raporlar hazırlamak ve ilgili birimler arasında koordine sağlamak
* Kalite Yönetim Sistemi kapsamında bütün prosedür, talimat ve formların takip ve
kontrolünü yapmaya yetkilidir..
* Kalitenin yaşam tarzı olduğunu çalışanlara benimsetilmesini sağlamak.
3-GEREKLİ NİTELİKLER:
* Görevinin gerektirdiği düzeyde kalite yönetim deneyimine sahip olmak.
* Yöneticilik niteliklerine sahip olmak.
* Faaliyetlerini en iyi şekilde sürdürebilmesi için gerekli karar verme ve sorun çözme
niteliklerine sahip olmak",500-750,3435,24
Tecrübeli ya da tecrübesiz adaylar,"Yapıldı, Muaf",İş Geliştirme,İş Geliştirme Uzman Yardımcısı,İzmir,Gediz Elektrik Perakende Satış A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Firmamızın organizasyon yapısına uygun "" İş Geliştirme Uzman Yardımcısı ""  olarak çalışacak takım arkadaşları arıyoruz.

Genel Nitelikler
Üniversitelerin İstatistik, Endüstri Mühendisliği, İşletme Mühendisliği, Ekonomi (İİBF) vb. bölümlerinden mezun
Planlama, organizasyon ve koordinasyon yeteneği gelişmiş, analitik düşünebilen
Takım çalışmasına yatkın,  gelişime açık, çözüm odaklı,
Esnek ve yoğun çalışma saatlerine uyum sağlayabilen,
İyi derecede İngilizce bilen ve aktif olarak konuşabilen,
Tercihen SAP bilgisi olan,
MS Office programlarını iyi derece kullanabilen,
Seyahat engeli olmayan ve aktif araç kullanabilen,
Erkek adaylar için askerlik hizmetini tamamlamış,
Tercihen Enerji Sektöründe tecrübeli,

İş Tanımı
Şirketin vizyon ve misyonuna uygun yeni iş fikirlerinin araştırılması,
Çalışılan projeler ile ilgili piyasa ve pazar araştırmalarının yapılması,
Süreçlerle ilgili iş akışı çizelgeleri hazırlanmasına destek verilmesi,
Projelerde iş süreçleri ve fizibilite için gerekli araştırmaların yapılması,
Projelerin saha uygulamalarında gerekli iletişimin sağlanması,
Raporlama için gereken veri setlerinin üstlerine hazırlanması,
Şirket için yeni çalışma ve yatırım alanları oluşturabilecek iş kolları ve sektörlerin araştırılması, işin detaylı tanımının oluşturulması ",1500-2000,8148,52
En az 3 yıl tecrübeli adaylar,"Yapıldı, Muaf, Tecilli",AR-GE,Yazılım Danışmanı (Kurumsal Gider Yönetimi Modülü),İstanbul(Avr.)(Esenler),Netaş Telekomünikasyon A.Ş. - BDH Bilişim Destek Hizmetleri San. ve Tic. A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
GENEL NİTELİKLER
Üniversitelerin Bilgisayar Mühendisliği, Matematik Mühendisliği, Endüstri Mühendisliği, İşletme Mühendisliği, İşletme, İktisat, İstatistik veya ilgili alanlarından mezun,
Yeni teknolojileri araştırma ve öğrenme konusunda istekli ve gelişime açık,
Zaman baskısı altında etkin çalışabilen, çabuk öğrenebilen,
Enerjisi yüksek, meraklı, etkin yazılı ve sözlü iletişim becerilerine sahip,
Farklı birimlerle etkili iletişim kurabilen, çözüm odaklı ve takım çalışmasına yatkın,
Tercihen iyi düzeyde İngilizce bilen,
İstanbul’da ikamet eden,
Tercihen askerlik görevini tamamlamış ya da tecilli olan adaylar.
İŞ TANIMI
Yazılımcı olarak Kurumsal Gider Yönetimi Modüleri (Satınalma, Stok-Envanter, Teslim-Tesellüm, Fatura, İş Avansı, Talep, Bütçe, Tedarikçi Değerlendirme) uygulamalarında 3 yıl ve üstü deneyimi olan,
Minimum 3 yıllık Yazılım deneyiminin tercihen Bankacılık sektöründe olması,
Yazılımcı olarak React+Typescript, C# ve .Net tecrübesi olan,
Veritabanı tarafında Oracle PL/SQL bilen,
Analitik düşünme ve problem çözme yetkinliğine sahip, 
Düzenli raporlama alışkanlığı olan ve dokümantasyona önem veren adaylar aranmaktadır.",50-100,542,34
En az 5 yıl tecrübeli adaylar,Yapıldı,İnsan Kaynakları,Performans Değerlendirme Uzmanı,İstanbul(Avr.)(Kağıthane),Adil Işık Group,"GENEL NİTELİKLER VE İŞ TANIMI
Adil Işık Group olarak; adL ve Love my body markalarımızla oluşturduğumuz marka kimliği ve değeri ile Türkiye’de ve dünyada 15 ülkede 200’e yakın seçkin satış noktası ile ürünlerini moda severlere sunuyor.

Dünden bugüne modanın demokratikleşmesi yolunda önemli adımlar atarak sektörde kendine farklı bir yer edinen adL, 1992 yılında moda ve perakende sektörüne merhaba dedi. 2002 yılında ilk yurt dışı mağazasını Rusya Tverskaya’ da açan adL, modayı #adLetkisi’nde yorumlamaya devam ederken sahip olduğu özgün ve yenilikçi bakış açısıyla da dikkat çekiyor.
 
adL, 2012 yılında markalarımız arasında yerini alan Nightzoom markasının da gücü ile modacı Cengiz Abazoğlu’nun adL+CENGİZ ABAZOĞLU ve 2015 yılında ünlü stilist ve moda editörü Mert Aslan’ın “Styled by Mert Aslan” tasarım koleksiyonları ile stil sahibi kadınların tarzına yön veriyor.

Yenilikten ve kendi stilini oluşturmaktan ödün vermeyen adL, sizi moda serüveninde hayal etmeye, sınırlarınızı zorlamaya ve hissetmeye davet ediyor…

Ürünlerinin %90 ı yerli üretim olan Adil Işık Group bu çalışma ilkesi ile 10.000’den fazla kişiye istihdam sağlıyor. Aynı zamanda tüm markaları ile birlikte Türkiye nin emeğini yurtiçi ve yurtdışında gururla temsil ediyor.
 Üniversitelerin tercihen Endüstri Mühendisliği, İşletme, İstatistik bölümlerinden mezun,
İnsan Kaynakları alanında minimum 5 yıl deneyimli (tercihen organizasyonel gelişim, ücretlendirme, yan haklar ve bilgi sistemleri, insan kaynakları dijitalleşme vb. konularında deneyimli)
İyi derecede İngilizce bilen,
MS Office programlarını ileri derecede kullanabilen,
Performans Yönetimi sistem kurulumunda yer alan,
Tercihen perakende sektöründe deneyimli,
Tercihen istatistik programlarına hâkim,
Analitik düşünme becerisi yüksek,
İleri seviyede raporlama yapabilecek,
Erkek adaylar için askerlik engeli bulunmayan.
 İŞ TANIMI
Performans yönetimi kapsamında ilgili süreçlerin yürütülmesi,
Performans değerlendirmesi sonrasında gerekli istatistiksel verilerin ve raporların hazırlanması,
Performans ve geri bildirim görüşmelerinin organize edilmesi,
Performans Yönetimi sistemi kurma ve geliştirme süreçlerinde yer alınması
Yıllık işgücü planlaması ve bütçelenmesine yönelik çalışmalarının yürütülmesi,",100-200,711,5
En az 5 yıl tecrübeli adaylar,"Yapıldı, Muaf, Tecilli",Satış,CRM Yöneticisi / Yönetmeni,İstanbul(Asya)(Kadıköy),EmlakJet.com,"GENEL NİTELİKLER VE İŞ TANIMI
Emlakjet, iLab Holding bünyesinde bulunan, Türkiye’nin en hızlı büyüyen emlak portalıdır. iLab Holding, 2000 yılından bu yana Türkiye’de büyümekte olan internet girişimlerine yatırım yapmaktadır. Yatırımları arasında kariyer.net, sigortam.net, arabam.com, steelorbis.com, chemorbis.com, cimri.com, neredekal.com, hangikredi.com gibi Türkiye’nin önde gelen pazar lideri internet şirketleri vardır. Çağımızın en revaçta sektörü internet girişimlerinden, ekonominin merkezinde yer alan ve her zaman dinamizme sahip inşaat-emlak alanında hizmet veren emlakjet.com, güçlü ve dinamik kadrosuna katılmak isteyen profesyonelleri çağırıyor.

Üniversitelerin tercihen Endüstri Mühendisliği, İşletme Mühendisliği, İstatistik, İşletme, İktisat bölümlerinden mezun,
CRM alanında 5 yıl ve üzer deneyimi olan,
Tercihen internet sektöründe çalışmış ya da sektör dinamiklerini bilen,
Ajanslarla iletişim ağının geliştirilmesi ve yönetilmesinden sorumlu,
MS Office programlarını iyi düzeyde kullanabilen,
İyi derecede İngilizce bilen,
Analitik düşünebilen ve çözüm üreten,
Tercihen Anadolu Yakasında ikamet eden
Takım arkadaşları arıyoruz.

İŞ TANIMI
Uçtan uça tüm CRM alt yapı ihtiyaçlarının belirlenmesi, süreçlerin hazırlanması ve iş sonuçlarına etki edecek şekilde hayata geçirilmesi.
Anlık ve aylık satış, site ziyaret, müşteri bazlı raporların hazırlanması.",100-200,823,31
En az 2 yıl tecrübeli adaylar,"Yapıldı, Tecilli","AR-GE, Mühendislik",Yatırım Test Uzmanı,İstanbul(Asya)(Pendik),NETAŞ,"GENEL NİTELİKLER VE İŞ TANIMI
Nitelikler: 
Üniversitelerin 4 yıllık fakültelerinden ve tercihen matematik, istatistik ve mühendislik bölümlerinden mezun olmak
Tercihen minimum 2 yıllık uygulama test veya analiz tecrübesine sahip olmak
İleri seviyede SQL bilgisine sahip olmak
Sorumluluk alanıyla ilgili dokümantasyonu yapacak ve yönetebilecek beceri ve deneyime sahip olmak
Tercihen bankacılık sektöründe ve bankacılık ürünleri konusunda & tercihen sermaye piyasaları, yatırım ve hazine ürünleri konusunda bilgi sahibi olmak
İyi derecede İngilizce bilgisine sahip olmak
Esnek mesai saatlerine uyum sağlayabilmek
Tercihen erkek adaylar için askerliğini tamamlamış olmak   

Yetkinlikler:
Güçlü iletişim
Analitik
Organizasyon ve koordine etme  
Değişime açıklık
Ekip çalışmasına yatkınlık


İŞ TANIMI
Yazılımların entegrasyon noktalarında oluşabilecek sorunları öngörüp gerekli tüm test senaryolarını oluşturmak
Bulguları takip ederek gerektiği durumlarda rapor üretmek
Uygulamalarda bulunan bulgular için gerekli düzeltmeleri zamanında yapmak
Uluslararası yazılım firmaları ile üretilen yazılımların durum takibini yaparak, İngilizce yazışma ve/veya gerektiğinde aramalar yapmak",500-750,5292,570
Tecrübeli ya da tecrübesiz adaylar,NaN,Finans,Raporlama Uzmanı,İstanbul(Avr.),CRT HUMAN,"GENEL NİTELİKLER VE İŞ TANIMI
İş Açıklaması
İletişim Merkezi Mağazalarımızda satış raporları, personel hedef analizleri gerçekleştirmek.
Günlük satışların detaylı takip edilmesi
- Veri/trafik takibi, analizi ve raporlanması, akışının düzenlenmesi, Verilerin/trafiklerin güncel tutulması, raporlanması
- Gerçekleşen günlük,haftalık,aylık,yıllık düzenli analiz raporların hazırlanması,
- Belirli periyotlarda oluşturulması gereken dinamik raporların modellemesinin yapılması ve hazırlanması,
- İlgili raporların analizi yapılarak ilgili yöneticiler ile paylaşılması,
- Hazırlanan raporların doğru okuyarak iş geliştirici tedbirlerin üretilmesi
- Mevcut ekibin operasyonel işlerini yürütmede destek olmak.İktisat, istatistik, ekonometri bölümleri, yeni mezun adaylar da başvuru yapabilir.
İstenen Yetenek ve Uzmanlıklar
Tercihen Üniversitelerin Matematik ve İstatistik bölümlerinden mezun,
Perakende sektöründe tecrübeli,
İleri düzeyde Excel bilgisi olan,
Raporlama yönü gelişmiş,
Analitik ve sistematik düşünce yapısına sahip,
Takip ve süreç izleme yeteneği gelişmiş,
Zaman yönetiminde başarılı,
Algılama ve hareket kabiliyeti yüksek,
Detaycı, titiz ve analitik düşünülebilen,
Sayısal verilerin düzenlenmesi konusunda yetenekli,
Esnek çalışma saatlerine uyabilen,
Takım çalışmasına yatkın,
Erkek adaylar için, askerlik görevini tamamlamış
İstanbul BEYLİKDÜZÜ ve çevresinde ikamet eden.
* Sigara içmeyen",300-500,1893,32
